;username;text;sentiment;clean_teks
14;@idaulat;Pilpres 2024, Jokowi Diharapkan Bersikap Netral;Netral;pilpres jokowi harap sikap netral
15;@DoankWarto;"Menurut Lembaga Indo Riset, Elektabiltas atau Suara PDIP Naik jika usung Ganjar Pranowo dalam Pilpres 2024.

Menurut Roki Arbi direktur Indo Riset, suara PDIP naik 29,2 % jika usung Ganjar.
Tapi semuanya tergantung keputusan 
@PDI_Perjuangan
 sendiri.";Negatif;lembaga indonesia riset elektabiltas suara pdip usung ganjar pranowo pilpres roki arbi direktur indonesia riset suara pdip usung ganjar gantung putus pdi juang
16;@uhtih_bksi;Puan Maharani, dinilai jadi harapan perempuan untuk maju di Pilpres 2024. Ini karena Puan dianggap sosok Aspiratif sebagai pemimpin perempuan. https://bersamapuan.com/2022/05/11/terbukti-aspiratif-puan-jadi-harapan-perempuan-di-2024/… #FestivalKopiTanahAir Puan Peduli Petani;Positif;puan maharani nilai harap perempuan maju pilpres puan anggap sosok aspiratif pimpin perempuan festivalkopitanahair puan peduli tani
17;@uhtih_bksi;Puan Maharani Disebut Capres Terbaik di Pilpres 2024 https://jurnas.com/artikel/92923/Puan-Maharani-Disebut-Capres-Terbaik-di-Pilpres-2024-Ini-Alasannya/… #FestivalKopiTanahAir Puan Peduli Petani;Positif;puan maharani capres baik pilpres festivalkopitanahair puan peduli tani
18;@uhtih_bksi;Pilpres 2024, Puan Jadi Figur Capres Perempuan Harapan Publik https://beritasatu.com/politik/922213/relawan-perempuan-siap-antar-puan-maharani-jadi-presiden-2024… #FestivalKopiTanahAir Puan Peduli Petani;Positif;pilpres puan figur capres perempuan harap publik festivalkopitanahair puan peduli tani
19;@Genpi_Co;Kader PDIP dukung Ketua DPR Puan Maharani maju capres dibanding Ganjar Pranowo pada Pilpres 2024. #PuanMaharani;Positif;kader pdip dukung ketua dpr puan maharani maju capres banding ganjar pranowo pilpres puanmaharani
20;@madagazakaria;"Dengan tertunda laga final ini apa mungkin bertanda ditundanya pemilu 2024? 

Wallahua'lam";Negatif;tunda laga final tanda tunda milu wallahualam
21;@HeruM99;Puan fokus bekerja di DPR dan tak tergoda untuk melakukan manuver politik demi kepentingan Pemilu 2024.;Netral;puan fokus dpr goda manuver politik penting milu
22;@versusepribadi;Delay sampe pilpres 2024;Negatif;delay pilpres
23;@Zahary5Achmad;Berharap pilpres 2024 nanti tak delay seperti ini #sebel #UCLfinal;Positif;harap pilpres delay sebel uclfinal
24;@Heru002he;Pilpres thn 2024, Puan Jadi Figur Capres Perempuan Harapan Publik https://beritasatu.com/politik/922213/relawan-perempuan-siap-antar-puan-maharani-jadi-presiden-2024… #APBN2023UntukRakyat Puan Solusi Bangsa;Positif;pilpres puan figur capres perempuan harap publik apbnuntukrakyat puan solusi bangsa
25;@AgusGadjong;"Prediksi Calon dlm Pilpres 2024 yaitu :
1. Unsur Akademis/Profesional :
- Anis
- Jimly
- Yusril
- Erik Tohir
- Khofifah
- Sandiaga

2. Unsur TNI/Polri:
- Prabowo
- Gatot
- Tito
- Andika

3. Unsur Partai :
- Muhaimin/PKB
- Erlangga/Golkar
- Prabowo/Gerindra

Adakah yg lain ???";Positif;prediksi calon pilpres unsur akademisprofesional anis jimly yusril erik tohir khofifah sandiaga unsur tnipolri prabowo gatot tito andika unsur partai muhaiminpkb erlanggagolkar prabowogerindra ada
26;@AgusGadjong;"Prediksi Calon Pasangan dlm Pilpres 2024 :
1. Prabowo - Puan
2. Anis - Andika
3. Ganjar - Erik 
4. Muhaimin - Gatot
5. Sandy - Khofifah

Menurut anda,  adakah calon Pasangan yang lain dlm Pilpres 2024";Positif;prediksi calon pasang pilpres prabowo puan anis andika ganjar erik muhaimin gatot sandy khofifah ada calon pasang pilpres
27;@AgusGadjong;"Prediksi Koalisi Pilpres 2024 :
1. Golkar/PAN/PPP memenuhi syarat PT yaitu : 23,67%
2. Nasdem/Demokrat/PKS memenuhi syarat yaitu : 25,03%
3. PDIP/Gerindra/PKB memenuhi syarat yaitu : 41,59%
Semoga prediksi ini memberikan banyak pilihan calon bagi rakyat";Positif;prediksi koalisi pilpres golkarpanppp penuh syarat pt nasdemdemokratpks penuh syarat pdipgerindrapkb penuh syarat moga prediksi pilih calon rakyat
28;@RadenKidangMas;"Persiapan Pemilu 2024.
Cuci Piring dulu ah..";Netral;siap milu cuci piring ah
29;@AgusGadjong;Ambang Batas PT dlm Pilpres 2024 sebaiknya 0%;Netral;ambang batas pt pilpres
30;@AgusGadjong;Batas ambang batas PT dlm Pilpres 2024 mulai di permasalahkan... Ada Parpol yg khawatir tertinggal bentukan koalisi dlm mengusung Capres...;Negatif;batas ambang batas pt pilpres masalah parpol khawatir tinggal bentuk koalisi usung capres
31;@HarisAdulH;"Spertinya pernyataan Bang Yos benar.
Mereka tdk akan kembali ke negaranya.

Apakah dipersiapkan tuk ikut Pemilu 2024??

Allahu'alam";Positif;spertinya nyata bang yos negara siap tuk milu allahualam
32;@noza_70;"Ujung2nya pasti berdalih force majeure, padahal itu sudah jelas pembangunan yang kesannya tergesa gesa berburu dengan waktu demi sebuah penghargaan, sahwat politik dan pencitraan demi pilpres 2024..kalo sudah bgini masa 
@KPK_RI
 menutup mata..";Positif;ujung dalih force majeure bangun kesan gesa gesa buru harga sahwat politik citra pilpres bgini kpk ri tutup mata
33;@InfoinBanten;Pj Gubernur Al Muktabar: Pemprov Banten Siap Sukseskan Pemilu 2024 - http://Nonstopnews.id http://dlvr.it/SRDFCX;Positif;pj gubernur al muktabar perintah provinsi banten sukses milu
34;@medianekita;PKS Sebut Raffi Ahmad Pantas Untuk Dicalonkan di Pilpres 2024, Ini Reaksi Warganet! #RaffiAhmad #pemiluserentak2024;Positif;pks raffi ahmad calon pilpres reaksi warganet raffiahmad pemiluserentak
35;@riaunewsmedia;Raffi Ahmad Jadi Jagoan PKS pada Pilpres 2024?;Positif;raffi ahmad jago pks pilpres
36;@Selena_Lauraaa;"Menteri BUMN 
@erickthohir
 dikenal sebagai figure pemimpin yang mudah diterima oleh berbagai kelompok masyarakat. Hal tersebut dinilai semakin menguatkan Erick Thohir untuk menghadapi pilpres 2024 mendatang.
Guru Besar Unair Hotman Siahaan
#BangkitBersamaET";Positif;menteri bumn erickthohir kenal figure pimpin mudah terima kelompok masyarakat nilai kuat erick thohir hadap pilpres guru unair hotman siahaan bangkitbersamaet
37;@terkenaldotcoid;Kontestasi Pemilu 2024, Budiyanto Bakal Berangkat Nyalon DPD RI;Netral;kontestasi milu budiyanto berangkat nyalon dpd ri
38;@GhalibRifaldi;"Buat yang masih ribut soal bursa pilpres 2024....

Anjing!";Netral;ribut bursa pilpres anjing
39;@Selena_Lauraaa;"Menteri BUMN 
@erickthohir
 dinilai pantas maju sbg capres di Pilpres 2024. Erick Thohir mendapatkan respons positif karena dinilai berhasil menumpas korupsi di tubuh BUMN. Penilaian ini disampaikan oleh Guru Besar Uniar Hotman Siahaan.

#BangkitBersamaET";Positif;menteri bumn erickthohir nilai maju capres pilpres erick thohir respons positif nilai hasil tumpas korupsi tubuh bumn nilai guru uniar hotman siahaan bangkitbersamaet
40;@news_wanheart;KEJUTAN...!! Bukan Anies, Ganjar, dan Prabowo, PKS siap mencalonkan Raffi Ahmad di Pilpres 2024;Negatif;kejut anies ganjar prabowo pks calon raffi ahmad pilpres
41;@Moyo26278086;"Pemimpin NKRI 2024.Trus berjuang tuk rakyat. 

@AgusYudhoyono


@RAMujiyono

#Demokrat Garda terdepan 2024 Anies-AHY Kalahkan Ganjar-ET, Jika Pilpres Dilakukan Hari Ini https://indoissue.com/anies-ahy-kalahkan-ganjar-et-jika-pilpres-dilakukan-hari-ini/…";Negatif;pimpin nkri juang tuk rakyat agusyudhoyono ramujiyono demokrat garda depan aniesahy kalah ganjaret pilpres
42;@IDCorner;"Petinggi Nilai Raffi Ahmad Layak Dicalonkan PKS di Pilpres 2024 - https://idcorner.co.id/2022/05/28/petinggi-nilai-raffi-ahmad-layak-dicalonkan-pks-di-pilpres-2024/… 

#IDCORNER";Netral;petinggi nilai raffi ahmad layak calon pks pilpres idcorner
43;@okezonenews;Kader PDIP Tunggu Keputusan Megawati soal Capres di Pemilu 2024 #LengkapCepatBeritanya #BeritaTerkini  .;Positif;kader pdip tunggu putus megawati capres milu lengkapcepatberitanya beritaterkini
44;@adellsianturi;"Happy bday Ibu Mega 
@Priskila_Ika
 . Pilpres 2024 pasti bisa !!";Positif;senang bday mega priskila ika pilpres
45;@Abaaah;AHY Ingatkan Kerja Keras Hadapi Pemilu 2024: Singsingkan Lengan Baju;Negatif;ahy ingat kerja keras hadap milu singsing lengan baju
46;@SINDOnews;"Pemilu 2024, Partai Perindo Kota Kendari Optimistis Raih 5 Kursi Legislatif

 #Sindonews #BukanBeritaBiasa .";Positif;milu partai perindo kota kendari optimistis raih kursi legislatif sindonews bukanberitabiasa
47;@convomf;(titipan) halo, mau minta tolong mungkin dari kalian ada yang mau bantu ngisi kuesioner mengenai Sikap Mahasiswa dalam Mendukung Proses Pemilu Tahun 2024, rep aja  yaa nanti di dm thx u!;Positif;titip halo tolong bantu isi kuesioner sikap mahasiswa dukung proses milu rep yaa dm terimakasih
48;@CNNIndonesia;Petinggi Nilai Raffi Ahmad Layak Dicalonkan PKS di Pilpres 2024;Positif;petinggi nilai raffi ahmad layak calon pks pilpres
49;@nakbontotbapak;Pemilu 2024 selesai aku & ferdi mutasi ke malang, alhamdulillah;Netral;milu selesai ferdi mutasi malang alhamdulillah
50;@kpu_tulungagung;“KOMPLEKSITAS PEMILU  DAN PEMILIHAN SERENTAK TAHUN 2024”, MENJADI TEMA RADIO TALK SHOW HALO TULUNGAGUNG RADIO RGR FM;Netral;kompleksitas milu pilih serentak tema radio talk show halo tulungagung radio rgr fm
51;@RizkiarPP;"Jika Indonesia ingin sperti Jakarta.
Dukung Anies Baswedan presiden di pilpres 2024..";Positif;indonesia sperti jakarta dukung anies baswedan presiden pilpres
52;@zkif;"Waaah sdh ada sinyal nih...politisi PDIP melirik 
@erickthohir
 sbg kandidat Capres/Cawapres 2024 bukan omong kosong belaka karena beliau memiliki modal penting dan berpotensi memenangi Pilpres 2024
#BangkitBersamaET";Positif;waaah sinyal nihpolitisi pdip lirik erickthohir kandidat caprescawapres omong kosong belaka beliau milik modal potensi tang pilpres bangkitbersamaet
53;@nakbontotbapak;Alhamdulillah, pemilu 2024 selesai mutasi ke malang;Netral;alhamdulillah milu selesai mutasi malang
54;@detikcom;Spanduk dukungan terhadap Ketua KPK Firli Bahuri untuk maju Pilpres 2024 bermunculan. Hal ini menimbulkan kritik dari berbagai pihak.;Positif;spanduk dukung ketua kpk firli bahuri maju pilpres muncul timbul kritik
55;@keuangannews_id;Anies Baswedan akan Dikunci, Jokowi dan Oligarki Persiapkan Ganjar dan Erick di Pilpres 2024!;Netral;anies baswedan kunci jokowi oligarki siap ganjar erick pilpres
56;@keuangannews_id;Pulangkan TKA RRC, KAMI Lintas Provinsi: Mereka Berpotensi Kacaukan Pilpres 2024;Netral;pulang tka rrc lintas provinsi potensi kacau pilpres
57;@kayyyylane;Berani sikat korupsi, guru besar Unair ungkap masyarakat dorong Erick Thohir maju dlm pilpres 2024 berkat capaian tsb #ErickThohirJugaKan;Positif;berani sikat korupsi guru unair masyarakat dorong erick thohir maju pilpres berkat capai erickthohirjugakan
58;@Syahban43931080;PDIP Jadi Kunci Prabowo Menangi Pilpres 2024? Hasto Bilang Begini;Positif;pdip kunci prabowo tang pilpres hasto bilang
59;@Juragantajirrr;"Sangat luar biasa dukungan untuk menteri BUMN 
@erickthohir
 terus meningkat dari waktu ke waktu. 
.
Komunitas pendalungan deklarasikan mendukung beliau untuk maju pilpres 2024. 
#BangkitBersamaET";Positif;dukung menteri bumn erickthohir tingkat komunitas dalung deklarasi dukung beliau maju pilpres bangkitbersamaet
60;@faktualnewsco;Dorongan Kader atas Pencalonan Puan Maharani di Pilpres 2024 Terus Menguat;Positif;dorong kader calon puan maharani pilpres kuat
61;@RelawanAHA2024;Berdasarkan Survei Indonesia Network Election Survey (INES), mereka menemukan mayoritas reponden memilih Airlangga Hartarto sebagai calon presiden yang dipilihnya jika pilpres digelar hari ini dan Partai Golkar sebagai partai yang banyak dipilih.;Positif;dasar survei indonesia jaring election survey ines temu mayoritas reponden pilih airlangga hartarto calon presiden pilih pilpres gelar partai golkar partai pilih
62;@RR421789781;"BAZZER2RP sampah dunya AHHERAT..dn
Babi_babi KAFIR_KUFAR OLIGARQQI....
Mendadak jadi kadrunn 
Mendejati PILPRES 2024";Netral;bazzerrp sampah dunya ahheratdn babi babi kafir kufar oligarqqi dadak kadrunn mendejati pilpres
63;@kompascom;PDI-P akan mendahulukan kerja sama dengan partai politik pendukung pemerintahan Presiden Joko Widodo ketimbang menjajaki koalisi untuk Pilpres 2024.;Positif;pdip dahulu kerja partai politik dukung perintah presiden joko widodo ketimbang jajak koalisi pilpres
64;@tujuankerjo1;Pas sesuai analisa saya. In syaa Allah terwujud dan memenangkan kontestasi Pilpres 2024.;Positif;pas sesuai analisa in syaa allah wujud menang kontestasi pilpres
65;@collegemenfess;"Halo teman - teman
Kami dari mahasiswa/i D3 Perpustakaan UNS, membutuhkan bantuan khususnya *kepada mahasiswa dan mahasiswi dari seluruh Universitas* berkenan mengisi survei tentang *""Sikap Mahasiswa dalam Mendukung Proses Pemilu Tahun 2024""* untuk membantu kami dalam (cont)";Positif;halo teman teman mahasiswa d pustaka uns butuh bantu mahasiswa mahasiswi universitas kenan isi survei sikap mahasiswa dukung proses milu bantu cont
66;@FestusBung;Selamat peringati Harlah prima yang ke-1 prima tetap berkipla di pemilu 2024 harga mati;Positif;selamat ingat harlah prima prima berkipla milu harga mati
67;@mandailing_on;Pintu Pilpres 2024 Sudah Terbuka Akankah Ada Perubahan;Netral;pintu pilpres buka ubah
68;@okezonenews;Pemilu 2024, Partai Perindo Kendari Targetkan Dapat 5 Kursi DPRD #LengkapCepatBeritanya #BeritaTerkini #BeritaDaerah .;Positif;milu partai perindo kendari target kursi dprd lengkapcepatberitanya beritaterkini beritadaerah
69;@Faktorutama;Pilpres 2024 > Arus Bawah PDIP Makin Deras dan Kuat Mendesak Puan jadi Capres -;Positif;pilpres arus pdip deras kuat desak puan capres
70;@KlikPositif;Jelang Pemilu 2024, DPC Gerindra Padang Buka Peluang Kaderisasi di Pengurus Anak Cabang;Positif;jelang milu dpc gerindra padang buka peluang kaderisasi urus anak cabang
71;@radar24jam;Menyiapkan Uba Rampe Pemilu Serentak 2024;Netral;uba rampe milu serentak
72;@LoveToleransi;"Erick Thohir memiliki modal  penting dan berpotensi memenangi pilpres 2024.
#BangkitBersamaET";Positif;erick thohir milik modal potensi tang pilpres bangkitbersamaet
73;@AlorKpu;"Teman Pemilih 
Anggota KPU RI August Mellaz memberikan pengarahan pada Rapat Koordinasi dan Konsolidasi Persiapan Pemilu dan Pemilihan Serentak Tahun 2024 di kantor KPU Provinsi Sulawesi Utara, Sabtu (28/5).
#KPUmelayani
#PemiluSerentak2024";Positif;teman pilih anggota kpu ri august mellaz arah rapat koordinasi konsolidasi siap milu pilih serentak kantor kpu provinsi sulawesi utara sabtu kpumelayani pemiluserentak
74;@SINDOnews;"Hadapi Pemilu 2024, Kader dan Pengurus Partai Perindo Kendari Gelar Konsolidasi

 #Sindonews #BukanBeritaBiasa .";Positif;hadap milu kader urus partai perindo kendari gelar konsolidasi sindonews bukanberitabiasa
75;@Adm61481192;Jelang pemilu Dan kampanye 2024 berubah sementara  PURBA ( PURAK PURAK BAIK );Netral;jelang milu kampanye ubah purba purak purak
76;@LoveToleransi;"komunitas pandalungan untuk bangsa mendeklarasikan diri mendukung Erick Thohir untuk maju sebagai calon presiden, pada Pilpres 2024 mendatang. Mereka menilai Erick Thohir sosok berprestasi, yang sukses memperbaiki BUMN.
#BangkitBersamaET";Positif;komunitas pandalungan bangsa deklarasi dukung erick thohir maju calon presiden pilpres nilai erick thohir sosok prestasi sukses baik bumn bangkitbersamaet
77;@AlorKpu;"Teman Pemilih 
Ketua KPU RI Hasyim Asy'ari, Anggota KPU RI Mochammad Afifuddin, Idham Holik, Betty Epsilon Idroos, dan Yulianto Sudrajat hadir dalam Rapat Pembahasan Materi Muatan Rancangan PKPU Mengenai Pemilu Serentak Tahun 2024, Jumat (27/5) di Jakarta.
#KPUMelayani";Positif;teman pilih ketua kpu ri hasyim asyari anggota kpu ri mochammad afifuddin idham holik betty epsilon idroos yulianto sudrajat hadir rapat bahas materi muat rancang pkpu milu serentak jumat jakarta kpumelayani
78;@LoveToleransi;"Pasangan Ganjar pranowo dan Erick Thohir akan terus menjadi sorotan di pilpres 2024. Pasangan Ganjar Erick berpotensi mengalami kemenangan di pilpres 2024
#BangkitBersamaET";Netral;pasang ganjar pranowo erick thohir sorot pilpres pasang ganjar erick potensi alami menang pilpres bangkitbersamaet
79;@okezonenews;Partai Perindo Kendari Gelar Rakor Persiapan Verifikasi Faktual Pemilu 2024 #LengkapCepatBeritanya #BeritaTerkini #BeritaDaerah .;Positif;partai perindo kendari gelar rakor siap verifikasi faktual milu lengkapcepatberitanya beritaterkini beritadaerah
80;@KastanewsI;Pilpres 2024 dan Formula E;Netral;pilpres formula e
81;@JDIHKPU_JBR;"Koordinasi Percepatan Regulasi:
”PENGUATAN RANCANGAN PERATURAN KPU MENGHADAPI TAHAPAN PEMILU 2024”
27 Mei 2022



@KPU_ID


@JDIHKPU_RI


@KPUDBali


@jembrana_kpu


Re- https://twitter.com/KPU_ID/status/1530463566381297664…
#TemanPemilih
#KPUMelayani
#PemiluSerentak2024
#JDIHKPU
cek: http://bit.ly/FP_JDIHKPU";Positif;koordinasi cepat regulasi kuat rancang atur kpu hadap tahap milu mei kpu id jdihkpu ri kpudbali jembrana kpu re temanpemilih kpumelayani pemiluserentak jdihkpu cek
82;@bantenaktual;DPD Partai Nasdem Kota Cilegon Siap Calonkan Walikota Di Pemilu 2024;Positif;dpd partai nasdem kota cilegon calon walikota milu
83;@CNNIndonesia;AHY Ingatkan Kerja Keras Hadapi Pemilu 2024: Singsingkan Lengan Baju;Negatif;ahy ingat kerja keras hadap milu singsing lengan baju
84;@iNewsTasik;"JAKARTA, http://iNews.id - Wacana untuk pencalonan Puan Maharani di Pilpres 2024 semakin bergeliat. #capres #pemiluserentak2024 
https://tasikmalaya.inews.id/read/89350/keinginan-kader-agar-puan-maharani-jadi-capres-pdi-perjuangan-semakin-menguat…";Positif;jakarta wacana calon puan maharani pilpres geliat capres pemiluserentak
85;@beritajatimcom;"Di Depan Ketua KPU, Anis Matta Minta Pemilu 2024 Lebih Sederhana.

Jakarta (http://beritajatim.com) – Ketua Umum Partai Gelombang Rakyat (Gelora) Indonesia Anis Matta berharap Pemilu 2024… http://dlvr.it/SRCrGp #anismatta #partaigelora #pemilu2024 #politikpemerintahan";Positif;ketua kpu anis matta milu sederhana jakarta ketua partai gelombang rakyat gelora indonesia anis matta harap milu anismatta partaigelora milu politikpemerintahan
86;@Lilcomons;"Menteri BUMN 
@erickthohir
 kembali mendapat dukungan untuk maju di pilpres 2024, kali ini dukungan datang dari komunitas Pendalungan yg siap bergerak jika Erick Thohir sudah memastikan diri menjadi salah satu Calon Presiden.

#BangkitBersamaET";Positif;menteri bumn erickthohir dukung maju pilpres kali dukung komunitas dalung gerak erick thohir salah calon presiden bangkitbersamaet
87;@golkarpedia;"“Saya ajak semua kader Golkar di daerah & di pusat, isu Munaslub ini dijadikan pelecut untuk kita bekerja keras & lebih ditingkatkan lagi kekompakan & soliditas partai Golkar untuk memenangkan pemilu 2024,” Ketua DPD I Partai Golkar DIY, Gandung Pardiman

https://golkarpedia.com/id/baca/26251-bantah-isu-munaslub-rudy-masud-golkar-se-kaltim-solid-dukung-airlangga-hartarto-capres-2024…";Positif;ajak kader golkar daerah pusat isu munaslub jadi lecut keras tingkat kompak soliditas partai golkar menang milu ketua dpd i partai golkar diy gandung pardiman
88;@Economicreview_;Kesepakatan Anggaran Pemilu 2024 Rp 76 Triliun;Positif;sepakat anggar milu rupiah triliun
89;@ManoharaSekar;"Deklarasi diikuti perwakilan 27 Kabupaten/Kota di Jawa Barat
Relawan Mak Ganjar Jawa Barat mendeklarasikan 
@ganjarpranowo
 di Pilpres 2024.

#GANTARI";Netral;deklarasi ikut wakil kabupatenkota jawa barat rawan mak ganjar jawa barat deklarasi ganjarpranowo pilpres gantar
90;@Beritasatu;Pilpres 2024, Partai Nasdem Dipandang Bisa Jadi Kuda Hitam;Positif;pilpres partai nasdem pandang kuda hitam
91;@queen_emina;"Pasangan yang nanti akan maju ke Pilpres 2024 harus menunjukan kecocokan sehingga dapat saling melengkapi. Aspek psikologis dan kepribadian pasangan akan sangat memengaruhi pilihan masyarakat.


@erickthohir
 
#BangkitBersamaET";Netral;pasang maju pilpres cocok lengkap aspek psikologis pribadi pasang pengaruh pilih masyarakat erickthohir bangkitbersamaet
92;@rakyatmerdeka;Ratusan Milenial Banyuasin Deklarasi Dukung Sandiaga Uno Maju Pilpres 2024;Positif;ratus milenial banyuasin deklarasi dukung sandiaga uno maju pilpres
93;@MYusuf114;"Kerja maksimal dalam sikat korups1, guru besar UNAIR ungkap kewajaran masyarakat saat dukung Erick Thohir maju di pilpres 2024 
#ErickThohirJugaKan";Positif;kerja maksimal sikat korups guru unair wajar masyarakat dukung erick thohir maju pilpres erickthohirjugakan
94;@Selena_Lauraaa;"Elektabilitas 
@erickthohir
 yg makin meroket memungkinkan duet 
@ganjarpranowo
 - Erick Thohir kian menguat di Pilpres 2024. Pasangan tsb menjd sorotan publik krn dianggap sbg putra mahkota penerus kebijakan dr Presiden 
@jokowi
.
#BangkitBersamaET";Positif;elektabilitas erickthohir roket duet ganjarpranowo erick thohir kian kuat pilpres pasang menjd sorot publik anggap putra mahkota terus bijak presiden jokowi bangkitbersamaet
95;@Selena_Lauraaa;"Keburu dipinang dgn Parpol lain, pengamat menyarankan PDIP utk mengikat Capres-Cawapres potensial salah satunya adlh Menteri BUMN 
@erickthohir
 yg dinilai mempunyai modal penting & pny potensi memenangi Pilpres 2024. 
#BangkitBersamaET";Positif;keburu pinang parpol amat saran pdip ikat caprescawapres potensial salah satu adlh menteri bumn erickthohir nilai modal potensi tang pilpres bangkitbersamaet
96;@Gorajuara;"Marak Spanduk Dukungan Maju di Pilpres 2024, Ketua KPK Mengaku Merasa Terganggung dengan Isu Tersebut
#pilpres2024 #KPK";Positif;marak spanduk dukung maju pilpres ketua kpk aku terganggung isu pilpres kpk
97;@hariankompas;"PDI-P menggelar Festival Kopi Tanah Air untuk semakin menggairahkan perkopian di Tanah Air. Namun, tak hanya itu, acara ini dilihat sebagai upaya PDI-P menggaet pemilih pada Pemilu 2024, utamanya pemilih muda. #Polhuk #AdadiKompas 
@iqbalbasyari";Positif;pdip gelar festival kopi tanah air gairah kopi tanah air acara upaya pdip gaet pilih milu utama pilih muda polhuk adadikompas iqbalbasyari
98;@Mediaekspres1;Langkah PKB Sulbar Jelang Pemilu 2024;Netral;langkah pkb sulbar jelang milu
99;@trisetiyai;*Sarasehan Perempuan, Ineu Purwadewi: Hadirkan Perempuan Dalam Kontestasi Pemilu 2024*;Netral;sarasehan perempuan ineu purwadewi hadir perempuan kontestasi milu
100;@dniupdate;Jokowi King Maker Pilpres 2024: apa agendanya?;Netral;jokowi king maker pilpres agenda
101;@detikcom;Menko Polhukam Mahfud Md tegaskan pertemuan Sahabat Mahfud Md hari ini di Perum Casa Grande tak terkait Pemilu 2024. Ia menyebut pertemuan tersebut hanya sebatas halal bihalal.;Positif;menko polhukam mahfud md tegas temu sahabat mahfud md perum casa grande kait milu sebut temu batas halal bihalal
102;@Beritasatu;Pilpres 2024, Ganjar Bisa Belajar dari Pengalaman Jokowi;Netral;pilpres ganjar ajar alam jokowi
103;@riaunewsmedia;NasDem Berpotensi Calonkan Anies di Pilpres 2024, PDIP Singgung Presidential Threshold;Netral;nasdem potensi calon anies pilpres pdip singgung presidential threshold
104;@Nugstriamdans;Emang ya pejabat di negri ini ingin sekali terlihat lbh menonjol darilada ucapannya..ini ketua KPK mau nyalonin di pemilu 2024 ta kok narsis sekali...;Positif;emang ya jabat negeri tonjol darilada ucapannyaini ketua kpk nyalonin milu ta narsis
105;@jutdas;"Kordinator Nasional Forum Relawan Ganjar optimistis kandidat pasangan capres-cawapres Gubernur Jateng 
@ganjarpranowo
 & Menteri BUMN 
@erickthohir
 akan kompetitif di pilpres 2024. Bahkan, Aidil menilai berpotensi menang jika diusung partai politik yg tepat.";Positif;kordinator nasional forum rawan ganjar optimistis kandidat pasang caprescawapres gubernur jawa ganjarpranowo menteri bumn erickthohir kompetitif pilpres aidil nilai potensi menang usung partai politik
